sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub
0.0,0.09432551,nan,nan,nan,nan,nan,nan,nan,22.0,nan,21.0,nan,-0.03770896,nan,nan,0.0,2.563427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,nan,nan,nan,nan,nan,-inf,-inf,-inf,0.09432551,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,22.0,21.000000000000004,0.95,0.0,0.0,0.09432551,-inf,0.0,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.5076277,0.07518339,0.0004903908,0.002500512,0.001768129,0.05,0.08552608,0.0,51.97901,22.0,0.02242626,21.0,0.02287002,-0.03574058,0.01415953,0.3961751,0.8440853,2.809695,0.007104972,0.007058833,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.01039744,0.04172019,0.007581992,0.04002107,-0.007426388,0.01151098,0.1206227,0.04895261,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.07518339,0.0,nan,-inf,nan,3.021593452380952,1.318435862544474,0.0,0.0,22.0,21.000000000000004,0.95,0.0,0.0,0.07518339,-inf,0.0,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.5583904,0.0733691,0.0005255065,0.002679568,0.001894741,0.05,0.0838725,0.0,50.97403,22.0,0.02419194,21.0,0.02467063,-0.03536418,0.01377297,0.3894611,0.8644393,2.836217,0.007804626,0.007748757,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.0103542,0.04091547,0.007101811,0.03923672,-0.007392746,0.0113343,0.1182469,0.04722491,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.0733691,0.0,nan,-inf,nan,3.32375238095238,1.3502281726953962,0.011849389134473491,0.011849389134473491,22.0,21.000000000000004,0.95,0.0,0.0,0.0733691,-inf,0.011849389134473491,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.6142295,0.0713944,0.0005615254,0.002863229,0.002024609,0.05,0.08201152,0.0,49.84301,22.0,0.02602068,21.0,0.02653556,-0.03495103,0.01335674,0.3821559,0.8852841,2.86584,0.008573169,0.008506147,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.01030371,0.04000968,0.006561238,0.03835523,-0.007353398,0.01113616,0.1155715,0.0453467,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.0713944,0.0,nan,-inf,nan,3.6561279761904757,1.3827871888136567,0.025801287247490236,0.025801287247490236,22.0,21.000000000000004,0.95,0.0,0.0,0.0713944,-inf,0.025801287247490236,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.6756524,0.0692476,0.0005981326,0.00304989,0.002156598,0.05,0.07991643,0.0,48.5697,22.0,0.02789154,21.0,0.02844344,-0.03449607,0.0129101,0.3742484,0.9066316,2.898988,0.009418769,0.009337992,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.01024792,0.03898978,0.005952477,0.03736421,-0.007311151,0.01091352,0.1125574,0.04331317,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.0692476,0.0,nan,-inf,nan,4.021740476190476,1.4161312629553329,0.04217542614112782,0.04217542614112782,22.0,21.000000000000004,0.95,0.0,0.0,0.0692476,-inf,0.04217542614112782,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.7432177,0.06691687,0.0006349011,0.003237373,0.002289168,0.05,0.07754953,0.0,47.13121,22.0,0.02977202,21.0,0.03036113,-0.03399547,0.01243388,0.365751,0.9284938,2.936161,0.01035049,0.01025286,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.01018518,0.03783734,0.005262672,0.03624613,-0.007261672,0.01066367,0.1091485,0.04111877,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06691687,0.0,nan,-inf,nan,4.42391488095238,1.4502794412032833,0.061321311016786964,0.061321311016786964,22.0,21.000000000000004,0.95,0.0,0.0,0.06691687,-inf,0.061321311016786964,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.8175395,0.06439026,0.0006714731,0.003423854,0.002421031,0.05,0.07486495,0.0,45.49964,22.0,0.03161553,21.0,0.03224111,-0.03344575,0.01193122,0.3567335,0.9508832,2.977949,0.01138185,0.01126358,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.0101131,0.03652979,0.004480187,0.03497967,-0.007205995,0.01038172,0.1052775,0.03876228,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06439026,0.0,nan,-inf,nan,4.866306547619047,1.4852510423595202,0.08361311538589605,0.08361311538589605,22.0,21.000000000000004,0.95,0.0,0.0,0.06439026,-inf,0.08361311538589605,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.8992935,0.06165594,0.0007075142,0.003607629,0.002550979,0.05,0.07181469,0.0,43.64582,22.0,0.03336013,21.0,0.03402025,-0.0328402,0.01140706,0.3473506,0.9738125,3.025063,0.01253117,0.01238801,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.01003251,0.03504355,0.003589523,0.03354234,-0.007142792,0.01006375,0.1008721,0.03625211,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06165594,0.0,nan,-inf,nan,5.3529374999999995,1.521065945349839,0.10944079940319387,0.10944079940319387,22.0,21.000000000000004,0.95,0.0,0.0,0.06165594,-inf,0.10944079940319387,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
0.9892228,0.05870264,0.0007427991,0.003787547,0.0026782,0.05,0.06406721,0.0,38.93724,22.0,0.03273731,21.0,0.03338511,-0.03431718,0.01035385,0.3017104,0.9972947,3.078356,0.0138262,0.01365224,0.09432551,0.09432551,2.563427,2.563427,1.0,1.0,-0.009318598,0.03123227,0.002410791,0.02990943,-0.006628984,0.009041943,0.0898509,0.02838394,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05870264,0.0,nan,-inf,nan,5.888230952380951,1.5577444369489997,0.1391953271367162,0.1391953271367162,22.0,21.000000000000004,0.95,0.0,0.0,0.05870264,-inf,0.1391953271367162,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.088145,0.05530791,0.0007051877,0.003595766,0.00254259,0.05,0.05040775,0.0,30.63562,22.0,0.0283333,21.0,0.02889394,-0.03600512,0.008786611,0.2440378,1.021343,3.143032,0.0139324,0.01375578,0.3430489,0.3430489,1.16161,1.16161,5.0,5.0,-0.0085637,0.02452874,0.00105923,0.0234943,-0.003626745,0.007135205,0.07061551,0.01850902,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05530791,0.0,nan,-inf,nan,6.47705357142857,1.5953073726530174,0.17311626781842163,0.17311626781842163,22.0,21.000000000000004,0.95,0.0,0.0,0.05530791,-inf,0.17311626781842163,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.19696,0.05139003,0.0006456456,0.003292159,0.002327908,0.05,0.03675079,0.0,22.33552,22.0,0.02272267,21.0,0.02317229,-0.03679074,0.007478281,0.2032653,1.045972,3.222803,0.01372715,0.01355585,0.3430489,0.3430489,1.16161,1.16161,5.0,5.0,-0.006143095,0.01786511,0.0008126654,0.0171319,-0.004457549,0.006836619,0.04957574,0.01197201,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05139003,0.0,nan,-inf,nan,7.124761904761904,1.6337762892485825,0.2112533336227273,0.2112533336227273,22.0,21.000000000000004,0.95,0.0,0.0,0.05139003,-inf,0.2112533336227273,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.316656,0.04698633,0.0006199853,0.003161317,0.002235389,0.05,0.02867896,0.0,17.42982,22.0,0.01950513,21.0,0.01989108,-0.03640354,0.006549235,0.1799065,1.071194,3.320071,0.01442171,0.01423256,0.3430489,0.3430489,1.16161,1.16161,5.0,5.0,-0.008503822,0.01381504,-0.0006572636,0.01319876,-0.006181521,0.007358256,0.03456696,0.009317481,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.04698633,0.0,nan,-inf,nan,7.837238095238095,1.6731726627210612,0.2534446982248951,0.2534446982248951,22.0,21.000000000000004,0.95,0.0,0.0,0.04698633,-inf,0.2534446982248951,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
