sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub
0.0,0.08436041,nan,nan,nan,nan,nan,nan,nan,41.0,nan,41.0,nan,-0.03069981,nan,nan,0.0,2.684653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,nan,nan,nan,nan,nan,-inf,-inf,-inf,0.08436041,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.08436041,-inf,0.0,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.5076277,0.06877633,0.0005021363,0.002560403,0.001810478,0.05,0.08740466,0.0,53.12073,41.0,0.02291886,41.0,0.02337236,-0.02926894,0.01455624,0.4973273,0.8440853,2.906403,0.007955981,0.007898326,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01326504,0.04291937,0.00422642,0.04082074,-0.00751615,0.01191937,0.1232657,0.06224682,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06877633,0.0,nan,-inf,nan,3.021593452380952,1.318435862544474,0.0,0.0,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.06877633,-inf,0.0,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.5583904,0.06729056,0.0005420838,0.002764096,0.001954511,0.05,0.08601279,0.0,52.2748,41.0,0.02480927,41.0,0.02530019,-0.02899572,0.01427105,0.4921779,0.8644393,2.930115,0.008781843,0.008711566,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01364194,0.04225937,0.003451972,0.04014241,-0.007490792,0.01178295,0.1212131,0.06060601,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06729056,0.0,nan,-inf,nan,3.32375238095238,1.3502281726953962,0.01086768176952745,0.01086768176952745,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.06729056,-inf,0.01086768176952745,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.6142295,0.06567147,0.000584094,0.002978307,0.002105981,0.05,0.08445444,0.0,51.32771,41.0,0.02679577,41.0,0.02732599,-0.02869512,0.01396238,0.4865769,0.8852841,2.956558,0.009699955,0.009614083,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01406483,0.04151901,0.002586697,0.03938497,-0.007459929,0.01163081,0.1189062,0.05880931,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06567147,0.0,nan,-inf,nan,3.6561279761904757,1.3827871888136567,0.023701204544031275,0.023701204544031275,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.06567147,-inf,0.023701204544031275,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.6756524,0.06390893,0.0006279573,0.003201967,0.002264132,0.05,0.08271196,0.0,50.2687,41.0,0.0288672,41.0,0.02943841,-0.02836432,0.01362911,0.4805018,0.9066316,2.986096,0.01072104,0.01061613,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01453973,0.04068933,0.00161117,0.03854014,-0.007429029,0.01146271,0.1163143,0.0568469,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06390893,0.0,nan,-inf,nan,4.021740476190476,1.4161312629553329,0.038812972986024374,0.038812972986024374,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.06390893,-inf,0.038812972986024374,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.7432177,0.06199249,0.0006735292,0.003434338,0.002428444,0.05,0.0807545,0.0,49.07906,41.0,0.03100244,41.0,0.0316159,-0.02800157,0.01327101,0.4739382,0.9284938,3.019152,0.01186071,0.01173258,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01507414,0.03975477,0.0005119788,0.0375935,-0.007392007,0.01127412,0.1133877,0.05470232,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.06199249,0.0,nan,-inf,nan,4.42391488095238,1.4502794412032833,0.05654992148190367,0.05654992148190367,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.06199249,-inf,0.05654992148190367,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.8175395,0.05991136,0.0007205524,0.003674111,0.002597989,0.05,0.07856189,0.0,47.74648,41.0,0.03317675,41.0,0.03383323,-0.02760095,0.01288826,0.4669499,0.9508832,3.056227,0.0131374,0.01298013,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01567855,0.03870484,-0.0007298051,0.03653555,-0.007350822,0.01106489,0.110087,0.05237528,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05991136,0.0,nan,-inf,nan,4.866306547619047,1.4852510423595202,0.07729113788027303,0.07729113788027303,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.05991136,-inf,0.07729113788027303,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.8992935,0.05765487,0.0007687763,0.003920005,0.002771862,0.05,0.07609273,0.0,46.24582,41.0,0.03534742,41.0,0.03604685,-0.02716147,0.01248163,0.4595345,0.9738125,3.09791,0.01457476,0.01438163,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01636662,0.03751823,-0.002139275,0.03534655,-0.007303422,0.01083138,0.1063387,0.04984395,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05765487,0.0,nan,-inf,nan,5.3529374999999995,1.521065945349839,0.1014427729768815,0.1014427729768815,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.05765487,-inf,0.1014427729768815,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
0.9892228,0.05521226,0.0008178696,0.004170333,0.002948871,0.05,0.06742249,0.0,40.97643,41.0,0.0344518,41.0,0.03513351,-0.02900771,0.01148187,0.3958212,0.9972947,3.144911,0.01620343,0.01596533,0.08436041,0.08436041,2.684653,2.684653,1.0,1.0,-0.01576967,0.0330919,-0.003441695,0.03126875,-0.006667295,0.00961282,0.0938734,0.03818893,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05521226,0.0,nan,-inf,nan,5.888230952380951,1.5577444369489997,0.1294281365210159,0.1294281365210159,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.05521226,-inf,0.1294281365210159,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
1.088145,0.05234275,0.0007881367,0.004018724,0.002841667,0.05,0.05073538,0.0,30.83474,41.0,0.02851746,41.0,0.02908175,-0.03130305,0.009860223,0.3149924,1.021343,3.202859,0.01647249,0.01622636,0.3178337,0.3178337,1.2445,1.2445,5.0,5.0,-0.01468665,0.02473879,-0.002522253,0.02337454,-0.002801507,0.006888577,0.07047265,0.02313518,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05234275,0.0,nan,-inf,nan,6.47705357142857,1.5953073726530174,0.1615305124355521,0.1615305124355521,40.999999999999986,40.999999999999986,0.95,0.0,0.0,0.05234275,-inf,0.1615305124355521,21.28508629079705,0.1776765417892992,0.1776765417892992,0.1776765417892992
